Price,Close,High,Low,Open,Volume,SMA_5,SMA_10
2023-04-19,165.73904418945312,166.26306428456468,163.67260909854727,163.92968580784367,47720200,164.14720153808594,162.29334564208983
2023-04-20,164.77008056640625,165.9763194310247,163.69238005042013,164.21640012100644,52456400,164.36273803710938,162.57908477783204
2023-04-21,163.1584930419922,164.57235465877127,162.63447292379246,163.1881534195007,58337300,164.32516784667968,162.61468200683595
2023-04-24,163.4649658203125,163.73192425907348,162.04120759579996,163.1386866366401,41949600,164.34494018554688,162.94095916748046
2023-04-25,161.9225616455078,164.43390199308925,161.88300442555024,163.3265412208214,48714100,163.81102905273437,163.23460845947267
2023-04-26,161.91268920898438,163.41554697412082,160.96352700012233,161.22058862196803,45498800,163.04575805664064,163.5964797973633
2023-04-27,166.51023864746094,166.65854052357386,163.32656095584278,163.32656095584278,64902300,163.39378967285157,163.87826385498047
2023-04-28,167.76589965820312,167.93399523157063,165.98621681699632,166.58933625125528,55209200,164.31527099609374,164.32021942138672
2023-05-01,167.67691040039062,168.52720964209172,166.7376300382773,167.370409816753,52472900,165.15765991210938,164.7513000488281
2023-05-02,166.63876342773438,168.42835824019505,165.65004401355455,168.17128153704527,48425700,166.10090026855468,164.95596466064453
2023-05-03,165.56106567382812,168.9919233057137,165.27434367702065,167.58794352434566,65136000,166.83057556152343,164.93816680908202
2023-05-04,163.91976928710938,165.1556684360722,162.45646891900202,163.02992793451995,81235400,166.31248168945314,164.85313568115234
2023-05-05,171.61203002929688,172.33379095243657,168.8337158986843,169.05123536921852,113316400,167.0817077636719,165.6984893798828
2023-05-08,171.54281616210938,171.88887398730245,170.1684967974759,170.53431814830344,55962800,167.85488891601562,166.5062744140625
2023-05-09,169.8323211669922,171.5823434942616,169.66424069363828,171.09788068478838,45326900,168.49360046386718,167.29725036621093
2023-05-10,171.6021270751953,172.0668263741992,169.96084934197563,171.06822526711633,53724500,169.70181274414062,168.26619415283204
2023-05-11,171.78997802734375,172.62049861686478,170.22779972610607,171.88885599180736,49514700,171.2758544921875,168.7941680908203
2023-05-12,170.8592987060547,172.33451847611525,169.3048550658258,171.8988778353498,45497800,171.12530822753905,169.10350799560547
2023-05-15,170.36427307128906,171.49297161869612,169.77021484316816,171.44346424843133,37266700,170.889599609375,169.37224426269532
2023-05-16,170.36427307128906,171.42365827881974,170.09694535788182,170.28506430037106,42110300,170.99598999023436,169.7447952270508
2023-05-17,170.97811889648438,171.21573009717264,168.7306172756303,170.00783790944186,57951600,170.87118835449218,170.2865005493164
2023-05-18,173.31472778320312,173.50284672542747,170.86921174934298,171.2850464654308,65496700,171.17613830566407,171.2259963989258
2023-05-19,173.42364501953125,174.64144781679403,173.20582466782196,174.64144781679403,55772400,171.6890075683594,171.40715789794922
2023-05-22,172.47315979003906,172.97811385055638,171.73059450812943,172.25533943207657,43570900,172.11078491210938,171.50019226074218
2023-05-23,169.8593292236328,171.66129487805824,169.58210606257185,171.4137731194303,50747300,172.00979614257812,171.50289306640624
2023-05-24,170.13653564453125,170.71078788094945,168.82962874348078,169.39397044171028,45143500,171.8414794921875,171.35633392333983
2023-05-25,171.27516174316406,172.17612946392208,169.9880455752579,170.70090944955888,56058300,171.43356628417968,171.3048522949219
2023-05-26,173.6909637451172,174.02760482348145,171.39396964747598,171.60189457506777,54835000,171.48703002929688,171.58801879882813
2023-05-30,175.5424346923828,177.21568420222022,174.81967538543662,175.20580872558915,55964400,172.10088500976562,172.1058349609375
2023-05-31,175.49293518066406,177.5721240946458,175.00778707206032,175.57214396008078,99625300,173.22760620117188,172.618701171875
2023-06-01,178.3047637939453,178.33446519527467,175.17608525533697,175.9384564736909,68901800,174.8612518310547,173.3513656616211
2023-06-02,179.15626525878906,179.97803939925643,177.4830155722075,179.2354740430242,61945900,176.43747253417968,173.93551940917968
2023-06-05,177.79978942871094,183.11655071245002,176.2750472958808,180.81955719143568,121946500,177.25923767089844,174.37313385009764
2023-06-06,177.43350219726562,178.33446990727649,175.67113339582835,178.18596289670575,64848400,177.637451171875,174.86916809082032
2023-06-07,176.0572967529297,179.41369144392402,175.56225319905127,176.6711459253292,61944600,177.7503234863281,175.48896484375
2023-06-08,178.77999877929688,179.04731136486936,175.70082791608735,176.1364534617516,50214900,177.84537048339843,176.35331115722656
2023-06-09,179.16615295410156,180.42355258623877,178.83942242611607,179.70079329510486,48870700,177.84734802246095,177.1424102783203
2023-06-12,181.9680938720703,182.06710862095264,179.17605622243772,179.47308536155512,54274900,178.6810089111328,177.97012329101562
2023-06-13,181.4928436279297,182.32451307330234,180.63147278147434,180.98790470199526,54929100,179.4928771972656,178.5651641845703
2023-06-14,182.12648010253903,182.56212075064622,180.21561965950994,181.5522278943548,57462900,180.7067138671875,179.2285186767578
2023-06-15,184.1660614013672,184.67101539623405,181.95817181365123,182.13639531405346,65433200,181.78392639160157,179.8146484375
2023-06-16,183.08685302734372,185.13633999731718,182.4433026370524,184.87890775517988,101235600,182.56806640625,180.20770721435548
2023-06-20,183.17599487304688,184.25520121093788,182.5819517231594,182.5819517231594,49799100,182.8096466064453,180.74532775878907
2023-06-21,182.1363983154297,183.5720213426237,180.77996894802234,183.06706733943585,49515700,182.9383575439453,181.21561737060546
2023-06-22,185.1462554931641,185.1957628610581,181.84926421078353,181.91857754734076,51245300,183.5423126220703,182.1245132446289
2023-06-23,184.8294219970703,185.70070333532985,183.17597862652977,183.71063403229002,53079300,183.67498474121095,182.72945556640624
2023-06-26,183.43338012695312,186.1858201392354,183.39376819593494,184.97791307110862,48088700,183.74429016113282,183.15617828369142
2023-06-27,186.19577026367188,186.5225008066865,183.8294627923201,184.04728315432985,50730800,184.3482452392578,183.57894592285157
2023-06-28,187.37396240234372,188.01751290126907,185.7403249158235,186.06704032710473,51216800,185.39575805664063,184.16705780029298
2023-06-29,187.7105865478516,188.18583917474905,187.06703605511274,187.2056476277424,46347300,185.90862426757812,184.72546844482423
2023-06-30,192.04718017578125,192.5521191164762,189.3640377084909,189.7303801784341,85069600,187.3521759033203,185.51358032226562
2023-07-03,190.55213928222656,191.9580609253223,189.85906633761323,191.85904618822673,31458200,188.775927734375,186.2601089477539
2023-07-05,189.433349609375,191.06698713435688,188.7303811843197,189.6709759307026,46920300,189.42344360351564,186.8858444213867
2023-07-06,189.9085693359375,190.11649423604223,187.32444187549908,187.95809689875657,45094300,189.93036499023438,187.6630615234375
2023-07-07,188.78976440429688,190.76004279032819,188.35413885501103,189.5125387247038,46778000,190.14620056152344,188.02741241455078
2023-07-10,186.74029541015625,188.10662020019882,185.18585168727856,187.38384586798722,59922200,189.08482360839844,188.21849975585937
2023-07-11,186.21556091308597,187.4234682366511,184.75023641356677,187.28485666382537,46638100,188.2175079345703,188.49671783447266
2023-07-12,187.88882446289065,189.79968522544766,186.60170827121757,187.79970514631046,60750200,187.90860290527343,188.66602325439453
2023-07-13,188.6511688232422,189.29473443261006,187.89870814797314,188.61157199087162,41342300,187.65712280273436,188.7937438964844
2023-07-14,188.79969787597656,189.28483085110778,187.75020804300397,188.34425119556795,41573900,187.65910949707032,188.90265502929688
2023-07-17,192.0669708251953,192.39370132812152,189.9085734412509,189.9976776399959,50520200,188.7244445800781,188.90463409423828
2023-07-18,191.80953979492188,192.40359800546008,190.51252831302557,191.433317028607,48353800,189.8432403564453,189.0303741455078
2023-07-19,193.16598510742188,196.2649472303636,190.74025980403414,191.18581105243047,80507300,190.89867248535157,189.4036376953125
2023-07-20,191.2154998779297,194.52238670645607,190.5917402572243,193.1560618639693,59581200,191.41153869628906,189.53433074951172
2023-07-21,190.03729248046875,193.03725474426253,189.33432409540026,192.17588392818155,71917800,191.6590576171875,189.6590835571289
2023-07-24,190.8392639160156,192.9778554020486,190.34422042985216,191.4927249435582,45377800,191.41351623535155,190.06898040771483
2023-07-25,191.70065307617188,192.51253172271785,191.0075951507849,191.41353447405788,37283200,191.39173889160156,190.61748962402345
2023-07-26,192.57192993164065,193.70062855675883,191.40363447210132,191.75015587275632,47471900,191.2729278564453,191.08580017089844
2023-07-27,191.3046112060547,195.24515323301043,190.6412547294524,194.07685782549473,47460200,191.2907501220703,191.35114440917968
2023-07-28,193.88873291015625,194.68080550669023,192.21548351570434,192.74022840055838,48291400,192.0610382080078,191.86004791259765
2023-07-31,194.5026092529297,194.5422211974479,193.32440317776312,194.11647588529388,38824100,192.79370727539063,192.1036117553711
2023-08-01,193.67092895507807,194.77982161953312,193.3441984148306,194.29468863259882,35175100,193.18776245117186,192.2897506713867
2023-08-02,190.6709442138672,193.24516118654293,189.94818497968632,193.1065496196106,50389300,192.80756530761718,192.04024658203124
2023-08-03,189.27491760253903,190.46301890335675,188.79968010371752,189.67096144116343,61235200,192.40162658691406,191.8461883544922
2023-08-04,180.1859436035156,185.52251207833032,180.11663025996506,183.68094960257173,115799700,189.66106872558592,190.86105346679688
2023-08-07,177.0770721435547,181.31464344213896,175.5919415919706,180.32455640774955,97576100,186.17596130371092,189.48483428955078
2023-08-08,178.0176544189453,178.48299654054432,175.81965996172053,177.90874423926195,67823000,183.04530639648436,188.1165344238281
2023-08-09,176.42359924316406,179.13642786663587,175.25528876502239,179.07702506576103,60378500,180.19583740234373,186.50170135498047
2023-08-10,176.20578002929688,178.95822060931928,175.8394526832055,177.70080592181807,54686900,177.5820098876953,184.9918182373047
2023-08-11,176.2652587890625,177.0881424893324,175.03590276334816,175.7993034466227,51988100,176.7978729248047,183.2294708251953
2023-08-14,177.92095947265625,178.14898275911253,175.78938877461678,176.44373225185288,43675600,176.966650390625,181.57130584716796
2023-08-15,175.9281768798828,177.94076628789648,175.53161335110406,177.34592099472832,43622600,176.5487548828125,179.79703063964843
2023-08-16,175.05572509765625,177.0088162608788,174.9863181633248,175.61092006059548,46964900,176.27518005371093,178.23550872802736
2023-08-17,172.50778198242188,175.98767489704687,171.99223724872292,175.6208528452633,66062900,175.53558044433595,176.5587951660156
